"symbol","date","open","high","low","close","volume","adjusted"
"SPY",2018-12-31,249.559998,250.190002,247.470001,249.919998,144299370,249.919998
"SPY",2019-01-02,245.979996,251.210007,245.949997,250.179993,126925199,250.179993
"SPY",2019-01-03,248.229996,248.570007,243.669998,244.210007,144140692,244.210007
"SPY",2019-01-04,247.589996,253.110001,247.169998,252.389999,142628834,252.389999
"SPY",2019-01-07,252.690002,255.949997,251.690002,254.380005,103139100,254.380005
"SPY",2019-01-08,256.820007,257.309998,254,256.769989,102512587,256.769989
"SPY",2019-01-09,257.559998,258.910004,256.190002,257.970001,95006554,257.970001
"SPY",2019-01-10,256.26001,259.160004,255.5,258.880005,96823923,258.880005
"SPY",2019-01-11,257.679993,259.009796,257.029999,258.980011,73858110,258.980011
"SPY",2019-01-14,256.859985,258.299988,256.410004,257.399994,70908227,257.399994
"SPY",2019-01-15,257.820007,260.700012,257.809998,260.350006,85208271,260.350006
"SPY",2019-01-16,260.829987,261.966614,260.600006,260.980011,77636710,260.980011
"SPY",2019-01-17,260.01001,263.920013,259.959991,262.959991,96118435,262.959991
"SPY",2019-01-18,264.980011,266.980011,262.997986,266.459991,127900303,266.459991
"SPY",2019-01-22,264.820007,265.059998,261.059998,262.859985,115531183,262.859985
"SPY",2019-01-23,264.01001,264.790009,260.660004,263.410004,86030287,263.410004
"SPY",2019-01-24,263.209991,264.200012,262.079987,263.549988,59204139,263.549988
"SPY",2019-01-25,265.609985,266.700012,263.659485,265.779999,96883358,265.779999
"SPY",2019-01-28,263.390015,263.829987,261.790009,263.76001,85613655,263.76001
"SPY",2019-01-29,263.920013,264.549988,262.480011,263.410004,66136334,263.410004
"SPY",2019-01-30,265.100006,268.519989,264.25,267.579987,92473671,267.579987
"SPY",2019-01-31,267.51001,270.470001,267.269989,269.929993,104012073,269.929993
"SPY",2019-02-01,270.149994,271.200012,269.179993,270.059998,85782524,270.059998
"SPY",2019-02-04,270.109985,272.029999,269.359985,271.959991,60744844,271.959991
"SPY",2019-02-05,272.440002,273.440002,271.880005,273.100006,79552774,273.100006
"SPY",2019-02-06,272.790009,273.339996,271.920013,272.73999,58347791,272.73999
"SPY",2019-02-07,270.940002,271.549988,268.290009,270.140015,95481961,270.140015
"SPY",2019-02-08,268.75,270.579987,267.829987,270.470001,75788861,270.470001
"SPY",2019-02-11,271.200012,271.48999,270.029999,270.619995,68021423,270.619995
"SPY",2019-02-12,272.420013,274.519989,272.339996,274.100006,72270221,274.100006
"SPY",2019-02-13,275.029999,275.929993,274.559998,274.98999,65277204,274.98999
"SPY",2019-02-14,273.779999,275.640015,272.869995,274.380005,83234396,274.380005
"SPY",2019-02-15,276.359985,277.410004,276.130005,277.369995,97088659,277.369995
"SPY",2019-02-19,276.481293,278.579987,276.470001,277.850006,59120804,277.850006
"SPY",2019-02-20,277.809998,278.920013,277.25,278.410004,76610767,278.410004
"SPY",2019-02-21,277.700012,278.100006,276.345001,277.420013,64214727,277.420013
"SPY",2019-02-22,278.109985,279.359985,277.402893,279.140015,78114616,279.140015
"SPY",2019-02-25,280.730011,281.309998,279.429993,279.519989,69030699,279.519989
"SPY",2019-02-26,279.130005,280.299988,278.899994,279.320007,56844101,279.320007
"SPY",2019-02-27,278.519989,279.589996,277.480011,279.200012,56921570,279.200012
"SPY",2019-02-28,278.959991,279.450012,278.320007,278.679993,69268293,278.679993
"SPY",2019-03-01,280.440002,280.880005,278.820007,280.420013,78880548,280.420013
"SPY",2019-03-04,281.600006,281.869995,276.839996,279.399994,106494637,279.399994
"SPY",2019-03-05,279.540009,279.76001,278.410004,279.019989,59114559,279.019989
"SPY",2019-03-06,279.149994,279.160004,276.970001,277.329987,75039771,277.329987
"SPY",2019-03-07,276.829987,276.98999,274.070007,275.01001,94885089,275.01001
"SPY",2019-03-08,272.940002,274.649994,272.420013,274.459991,85795799,274.459991
"SPY",2019-03-11,275.26001,278.619995,275.230011,278.440002,65098897,278.440002
"SPY",2019-03-12,279.059998,280.070007,278.850006,279.48999,79667530,279.48999
"SPY",2019-03-13,280.480011,282.380005,280.299988,281.339996,80639153,281.339996
"SPY",2019-03-14,281.369995,281.839996,280.666199,281.160004,67518366,281.160004
"SPY",2019-03-15,280.540009,282.209991,280.329987,281.309998,81308979,281.309998
"SPY",2019-03-18,281.549988,282.660004,281.299988,282.329987,62199806,282.329987
"SPY",2019-03-19,283.51001,284.359985,281.410004,282.399994,90268121,282.399994
"SPY",2019-03-20,282.160004,283.5,280.320007,281.549988,84609210,281.549988
"SPY",2019-03-21,280.640015,285.179993,280.589996,284.730011,79550375,284.730011
"SPY",2019-03-22,283.220001,283.803406,279.179993,279.25,122659286,279.25
"SPY",2019-03-25,278.869995,280.185303,277.640015,279.040009,85575197,279.040009
"SPY",2019-03-26,280.98999,282.179993,279.559998,281.119995,68125920,281.119995
"SPY",2019-03-27,281.109985,281.76001,277.929993,279.649994,72224722,279.649994
"SPY",2019-03-28,280.350006,281.209991,279.070007,280.709991,56238545,280.709991
"SPY",2019-03-29,282.390015,282.839996,281.140015,282.480011,82186806,282.480011
"SPY",2019-04-01,284.700012,286.160004,284.399994,285.829987,77617945,285.829987
"SPY",2019-04-02,286.040009,286.230011,285.089996,285.970001,40070351,285.970001
